TITLE="EPhi"
VARIABLES="x", "y", "EPhi"
ZONE T="Ephi", I=14, J=2, DATAPACKING=POINT
0.0104849 0.00534233 -1363.95
0.0122324 0.00623272 -1185.9
0.0139799 0.00712311 -964.771
0.0157274 0.0080135 -743.179
0.0174749 0.00890389 -531.888
0.0192224 0.00979428 -325.794
0.0209698 0.0106847 -127.261
0.0227173 0.0115751 0
0 0 0
0.00173168 0.000920751 -1030.56
0.00346336 0.0018415 -1270.88
0.00519504 0.00276225 -1409.82
0.00692673 0.00368301 -1473.72
0.00865841 0.00460376 -1468.97
0.0103901 0.00552451 -1373.02
0.0121218 0.00644526 -1188.84
0.0138535 0.00736601 -961.891
0.0155851 0.00828676 -736.326
0.0173168 0.00920751 -523.793
0.0190485 0.0101283 -319.212
0.0207802 0.011049 -124.259
0.0225119 0.0119698 0
ZONE T="Ephi", I=14, J=2, DATAPACKING=POINT
0 0 0
0.00173168 0.000920751 -1030.56
0.00346336 0.0018415 -1270.88
0.00519504 0.00276225 -1409.82
0.00692673 0.00368301 -1473.72
